treatment_id,reviewed,reviewer,bootstrap_status,claude_annotation_count,kept_count,added_count,deleted_count,merge_metric,desc_length,diag_length,n_diagnosis_headers,n_description_headers,n_sp_nov,n_key_couplets,desc_starts_mid_sentence,latin_block_count,synthetic_nomenclature,predicted_issues,first_line
taxon_715c2164cdbd951be277ce50c3eda91e7d7fe2dc4ff4ec17dbfda4a35bdf0571,False,,success,16,0,0,0,5,0,2139,0,0,0,0,False,0,True,§2:synth_nomen,
taxon_7fbc71a8ba4363c73eb124cc937d3b3a6f07f8701b762d3a2798e01022702878,False,,success,9,0,0,0,5,1073,968,0,0,0,0,True,0,False,§10:mid_sentence,"subcuticular, black, elliptical to elongated-elliptical, raising the substrate"
taxon_a21a83f4865defee9d2a453c0db4b68af60ab1c131087b441d227994c28b7b07,False,,success,12,0,0,0,5,2169,0,0,1,0,0,True,0,False,§10:mid_sentence,"inconspicuous. Mycelium internal; hyphae branched, septate,"
taxon_83e36037883336a1a30e100365071ff3a8c663bf35d7629ac433466d21bad801,False,,success,17,0,0,0,4,773,1592,0,0,0,0,False,0,False,,"Effused-reflexed basidiomes show characteristic, coarsely-strigose upper surfac…"
taxon_cda95f9fdeccf29044c71c577df2be9048002671ca0fefbcec233cf6c83f3f81,False,,error,0,0,0,0,3,0,2921,0,0,0,0,False,0,True,§2:synth_nomen,
taxon_d2d26d25951f4f016bc87c572e1a2b7a20e954d83adbafe00c03ab6b39342a1d,False,,success,11,0,0,0,3,1514,0,0,0,0,0,False,0,False,,"Thallus foliose, moderately adnate to adnate on rocks, yellow green"
taxon_ed2a6f1c092e4db297b9b26ae5e6c904a1e44e252408268e6aa0c04db771f3b8,False,,success,25,0,0,0,2,2680,981,0,0,0,0,True,0,False,§10:mid_sentence,"s ·ocarps intraepid rmal, arranged in a rough ·ircle near the margin"
taxon_45d52f620b69ecb32e0d34317ef21c74fb197da799123e7bc262860056278f0e,False,,success,11,0,0,0,2,1600,0,0,0,0,0,False,0,False,,"Ascomata superficial, ostiolate, pale olivaceous grey or pale"
taxon_9e68c26bb05fd168da9936a379056bb2549ab42d8f81f6d674c4df73316356d3,False,,success,6,0,0,0,2,1695,0,0,0,0,0,False,0,False,,Description. Saprobic on decaying wood in a forest. Sexual morph Undetermined. …
taxon_d625672583e41937fc0b255a82e20d3627680992e42e72f464fd7b63b0897b70,False,,success,8,0,0,0,2,1638,0,0,0,0,0,False,0,False,,Description.Saprobic on dead stem of Wurfbainiavillosa. Sexual morph: undetermi…
taxon_dd266e1ed8c9f97f0a5e079f6e0a56bac9f3b94e43692b372347c2d2b816f61b,False,,success,7,0,0,0,2,723,523,0,0,0,0,False,0,False,,"Asexual morph: Colonies on substrate effuse, superficial, erect, solitary, obov…"
taxon_ea7b0ed777eeb039294db97b0cd07956db8705063face2016ed77da5ef1e3ecf,False,,success,10,0,0,0,2,2581,426,0,0,0,0,False,0,False,,"Pseudostromata embedded in bark or wood, reduced to substrate blackening and sc…"
taxon_23d479f4f8ec864d35527d0db16ea944947d7dad18c4a37922ac089fd095f51c,False,,success,9,0,0,0,1,809,0,0,0,0,0,True,0,False,§10:mid_sentence,"glycerol, methanol, hexadecane, erythritol, levulinic acid,"
taxon_33be980bc610cb4f7f7ab3b6e1790a731567c95b32cb32ee045b3c43b8456f4a,False,,success,6,0,0,0,1,755,0,0,0,0,0,False,0,True,§2:synth_nomen,"Colonies amphigenous, dense, crustose to velvety, up to"
taxon_e44e35bc02ddf41c58b8f3684c677ea93f541a03cbf798faa554b7b60b551193,False,,success,3,0,0,0,1,331,1047,0,0,0,0,True,0,True,§2:synth_nomen|§10:mid_sentence,"hard, globoid, black bodies composed of spore balls and"
taxon_fb7bd18d486cfaa13ec3426c6dae25b956e17bc7662fb56e305294d6f50b1568,False,,success,0,0,0,0,1,1225,0,0,0,0,0,True,0,True,§2:synth_nomen|§10:mid_sentence,"is clear from the comparison of the control, featuring a totally collapsed alga…"
taxon_01a01c54b9dc0c5a067971f696b76b255b08f82a3454a70179c71beadb94cb19,False,,success,8,0,0,0,1,1147,0,0,0,0,1,False,1,False,,Pseudotrichia Kirschst. gen. nov.
taxon_0cfe582fd5345b0a9a7775fb0f8bf4d0527645584bee0a1419d6940686af9be3,False,,success,16,0,0,0,1,1948,0,0,0,0,0,False,0,False,,"Basidiomata medium large sized, boletoid. Pileus 30‒80 mm diam, initially hemis…"
taxon_2f276bfa9f81b356f030acbb78e175cce254064c89e7252eb816ddad19f0253f,False,,success,7,0,0,0,1,1108,0,0,0,0,0,False,0,False,,"Mycovellosiel/a micranlhae (Muller & Chupp) Dianese & Furlanetto,"
taxon_9ecad9039f822d0e86ed431096fb549a3aadf4cf438d8b1de9aebdd47f133916,False,,success,18,0,0,0,1,1733,477,0,0,0,0,False,1,False,,"Pileus 5-10 mm, semicircular, rounded flabelliform, reniform, ungulate, campanu…"
taxon_d65547edec20a718cfd415f8dbd3c19501c51b221a49c2a88a37f6b19185c466,False,,success,6,0,0,0,1,750,0,0,0,0,0,False,0,False,,"Description. Colonies on PDA approx. 6−7 cm diam. after 7 d at 25 °C, surface f…"
taxon_e0d2e4bbff8f627b3c941fd8343a5b15913bd0c2b3aa8622c5e6fa3a7c68b2e3,False,,success,10,0,0,0,1,1855,517,0,1,0,0,False,0,False,,"Description: Leaf spots narrow, oblong between secondary"
taxon_e534e6a9f1229fe9e4d5d8eade9b665a42f66e4ce417383b4b866e224aa10adf,False,,success,8,0,0,0,1,1304,0,0,0,0,0,False,0,False,,Saprobic on decaying wood. Sexual morph Undetermined. Asexual morph Colonies on
taxon_2a9d07e6b49b3b94be3abfa11fca7ad457014661d35f6c82e472a3a22c90f07f,False,,success,7,0,0,0,0,1549,0,2,0,0,0,False,0,False,§6:multi_diagnosis,"Diagnosis: Conidiomata pycnidial, solitary, brown, globose,"
taxon_418bf6b7a3b67ed1477e4f75fb2dd8460ffcc921a149b5dda792a2601e97231d,False,,success,9,0,0,0,0,1367,0,0,0,0,0,True,0,False,§10:mid_sentence,"immersed, scattered or in groups. Venter 390–500 μm diam,"
taxon_5b0a8ce745bf2f7a3f8ac5e44c1390f4af91d1a844922bb3dd748aed94a6d359,False,,success,8,0,0,0,0,406,0,0,0,0,2,False,0,False,§8:key_content_short,"15. Basal bulb may be elongate, almost always doglegged; clamps"
taxon_8d70e41aa142ab46be411307e0ae2826922271607b32f7be26e8708179159e08,False,,success,2,0,0,0,0,0,336,0,0,0,0,False,0,True,§2:synth_nomen,
taxon_acd88732fb57adb42e2ccfd41a7648cf00d69bb5c9cbabaadc2fc1c36912f6c9,False,,success,2,0,0,0,0,129,0,0,0,0,0,True,0,True,§2:synth_nomen|§10:mid_sentence,"; perithecia epiphyllous, slightly prominent, black, shining;"
taxon_d41b87e4b8e6ad31f792ae8e13727b05b7a72b1238fac6c5e68120285535b1fb,False,,success,13,0,0,0,0,1675,0,0,0,1,2,False,0,False,§8:key_couplets,"Pileus campanulate or convex, 1-1.5 cm. broad; surface hygrophanous, reddish-ta…"
taxon_38b5b1c61a846fd2ba9c096988c59e5f9f89fe8d83b8ea3bad121093cf694734,False,,success,6,0,0,0,0,920,0,0,0,0,0,False,0,False,,"Ascomata separate, immersed in leaf tissue, becoming erumpent,"
taxon_7af2e7c8588dffb57fa6c05023b50ba1a5363df0c55403646a0d131ff8c5498e,False,,success,1,0,0,0,0,0,188,0,0,0,0,False,0,False,,
taxon_ae45a05e110f7cb695e0f829e1e7d2573ec83db9ee0973a6077ecb0d1d3cd9e8,False,,success,8,0,0,0,0,378,0,0,0,0,0,False,0,False,,"Basidiomata small to medium-sized, dry to glutinous, yellowish to greenish. Pil…"
taxon_bb43b1ae1366c40193d170361ce08145d51fb0885758e7b56cfa6f903625ef92,False,,success,0,0,0,0,0,0,234,0,0,0,0,False,0,False,,
taxon_d552598708f601d3ad91f5d4bf455f3501f21f4981519ff63e280e3343f5baeb,False,,success,5,0,0,0,0,1009,0,0,0,0,0,False,0,False,,"Sori (Fig. 2) in ovaries as globose to ovoid, compact, brownish-black bodies,"
taxon_feaa170a1402dd5ccb5c07b353ec4ea78fc3cea6c4bfdd0cc757df072721df74,False,,success,10,0,0,0,0,1261,0,0,0,0,0,False,0,False,,Saprobic on dead stems. Sexual morph: Apothecia 1–3 × 4–8 cm arising singly or
taxon_2b793602153da2c98370528e7950159efd9fec7a49d8a4fb79b35f678c3cf6a9,True,piggy@puchpuchobs,success,19,19,1,0,39,7875,0,0,0,0,0,False,0,False,§6:merge_metric=39,"Pileus very thin, submembranous, convex or nearly plane, gregarious, 12-20 mm. …"
taxon_841d5cbed697b1882ba6b0f044556d801ae2df2f698fcc72c7a52bcb2349ce44,True,piggy@puchpuchobs,success,20,20,6,0,33,8933,856,0,0,0,0,False,0,True,§2:synth_nomen|§6:merge_metric=33,"PILEUS: 60–156 mm wide, white to whitish at first, darkening slightly when"
taxon_095076772673493a7cc0424f58d4e94013667d4f2bbcd59a36aaa8e5746eeb6b,True,piggy@puchpuchobs,success,34,31,6,3,15,4017,314,0,0,0,0,False,0,False,§6:merge_metric=15,"Basidiocarps to 0.6‑1.5 cm high, and 0.6‑1.2 cm wide, truly in­fundibuliform"
taxon_0029f1413f69fd6d270f11e5aa0f806d3ba8687c0c1a5826330988ca90c02c06,True,piggy@puchpuchobs,success,16,16,0,0,9,2037,331,0,1,0,0,False,0,False,,Description: Basidiomata small to medium-sized. Pileus 2.6–8 cm
taxon_67cc93d2860f4f8a451c25f478a16eff4b5362e79d8cb44806a4ce9d05fad5e0,True,piggy@puchpuchobs,success,26,26,7,0,7,3239,941,0,0,0,0,False,0,True,§2:synth_nomen,"Comatotricha  afroalpina  Rammeloo,  Bull.  Jard.  Bot.  Belg.  53:  297,  1983…"
taxon_22346900a8a1da8533cf8eed86a4ec07619320aa690696132a6c8514094320c2,True,piggy@puchpuchobs,success,13,13,0,0,3,1956,0,0,0,2,1,False,0,True,§2:synth_nomen|§6:multi_sp_nov,I. Gymnopilus laeticolor sp. nov.
taxon_3c218a38fbacd97f063787040a5b28be3a67a1d078a808532a4da8ee78e42d19,True,piggy@puchpuchobs,success,9,9,9,0,3,1799,1338,0,0,0,0,True,0,False,§10:mid_sentence,"emend. G.H. Sung, J.M. Sung, Hywel-Jones & Spatafora= Cordycepioideus Stifler, …"
taxon_173204126fbc7e27e4018accd4684ddf002b1bc7b1c09998587033c67e2c2bcc,True,piggy@puchpuchobs,success,12,12,2,0,2,1871,644,0,0,0,0,False,0,False,,"Saprobic on litter in forest. Sexual morph: Subiculum white, composed of hyalin…"
taxon_ba964a8b803eaf40672ba3561a79866d14054fe9ef993b4032161a8e05d3d55e,True,piggy@puchpuchobs,success,1,0,0,1,0,172,0,0,0,0,0,True,0,True,§2:synth_nomen|§10:mid_sentence,the conidia emerged on the surfaces of the cadavers. Termites started to change…
taxon_2114314b6d1bf58aa91b2b99bb30442e7dc30c5fb9bc4a17b107586482e983fd,True,piggy@puchpuchobs,success,13,13,0,0,0,1304,0,0,0,0,0,False,0,False,,Sexual morph unknown. Conidiophores consisting of a stipe
taxon_62a712ab49b329033eb8d21d8614fb771eaf9011ad6438aa29a5b819ee413909,True,piggy@puchpuchobs,success,8,8,2,0,0,1402,0,0,0,0,0,False,0,False,,Description. Saprobic on decaying branches of Prunus cerasus. Sexual morph: Str…
